Distance [m]; RF input power [µW]; P_out_LDO [µW]
0.1000; 474960.5422; NaN
0.2000; 118740.1355; NaN
0.3000; 52773.3936; NaN
0.4000; 29685.0339; NaN
0.5000; 18998.4217; NaN
0.6000; 13193.3484; NaN
0.7000; 9693.0723; 722.2275
0.8000; 7421.2585; 582.0022
0.9000; 5863.7104; 493.0875
1.0000; 4749.6054; 426.3203
1.1000; 3925.2937; 372.8001
1.2000; 3298.3371; 338.3742
1.3000; 2810.4174; 297.5288
1.4000; 2423.2681; 272.8773
1.5000; 2110.9357; 244.0333
1.6000; 1855.3146; 227.2552
1.7000; 1643.4621; 201.3057
1.8000; 1465.9276; 187.5946
1.9000; 1315.6802; 172.0038
2.0000; 1187.4014; 158.5153
2.1000; 1077.0080; 146.3560
2.2000; 981.3234; 134.9430
2.3000; 897.8460; 127.7187
2.4000; 824.5843; 121.8668
2.5000; 759.9369; 115.0311
2.6000; 702.6044; 108.8663
2.7000; 651.5234; 102.9625
2.8000; 605.8170; 97.7650
2.9000; 564.7569; 94.8888
3.0000; 527.7339; 88.6683
3.1000; 494.2357; 84.7029
3.2000; 463.8287; 81.2743
3.3000; 436.1437; 76.4233
3.4000; 410.8655; 73.2441
3.5000; 387.7229; 70.2806
3.6000; 366.4819; 66.4303
3.7000; 346.9398; 64.0088
3.8000; 328.9200; 60.6842
3.9000; 312.2686; 58.6354
4.0000; 296.8503; 55.7403
4.1000; 282.5464; 54.0170
4.2000; 269.2520; 52.0872
4.3000; 256.8743; 49.6927
4.4000; 245.3309; 47.8020
4.5000; 234.5484; 45.7011
4.6000; 224.4615; 44.2409
4.7000; 215.0116; 42.3783
4.8000; 206.1461; 40.6310
4.9000; 197.8178; 39.3793
5.0000; 189.9842; 37.8199
5.1000; 182.6069; 36.6942
5.2000; 175.6511; 35.2964
5.3000; 169.0853; 33.9770
5.4000; 162.8808; 33.0589
5.5000; 157.0117; 31.8677
5.6000; 151.4543; 31.0311
5.7000; 146.1867; 29.9519
5.8000; 141.1892; 28.9279
5.9000; 136.4437; 28.3094
6.0000; 131.9335; 27.3736
6.1000; 127.6433; 26.4835
6.2000; 123.5589; 25.6361
6.3000; 119.6676; 24.8287
6.4000; 115.9572; 24.1032
6.5000; 112.4167; 23.3672
6.6000; 109.0359; 22.6645
6.7000; 105.8054; 21.9930
6.8000; 102.7164; 21.3509
6.9000; 99.7607; 20.7377
7.0000; 96.9307; 20.1494
7.1000; 94.2195; 19.5858
7.2000; 91.6205; 19.0466
7.3000; 89.1275; 18.5283
7.4000; 86.7349; 18.0309
7.5000; 84.4374; 17.5533
7.6000; 82.2300; 17.0944
7.7000; 80.1080; 16.6997
7.8000; 78.0672; 16.2743
7.9000; 76.1033; 15.8649
8.0000; 74.2126; 15.4707
8.1000; 72.3915; 15.0911
8.2000; 70.6366; 14.7253
8.3000; 68.9448; 14.3473
8.4000; 67.3130; 14.0077
8.5000; 65.7385; 13.6801
8.6000; 64.2186; 13.3638
8.7000; 62.7508; 13.0583
8.8000; 61.3327; 12.4868
8.9000; 59.9622; 12.2078
9.0000; 58.6371; 11.7824
9.1000; 57.3555; 11.5248
9.2000; 56.1154; 11.0875
9.3000; 54.9151; 10.8503
9.4000; 53.7529; 10.6207
9.5000; 52.6272; 10.2218
9.6000; 51.5365; 10.0100
9.7000; 50.4794; 9.6259
9.8000; 49.4545; 9.4305
9.9000; 48.4604; 9.0603
10.0000; 47.4961; 8.8800
